expiry,T,strike,option_type,mid_price,bid,ask,volume,open_interest,yahoo_iv,moneyness,iv,delta,gamma,vega,theta,rho
2026-09-25,0.03561643835616438,770.0,call,3.725,3.7,3.75,3971.0,4460,0.10328045166015623,1.0074710151078965,0.09960094900448743,0.37735361967379405,0.026446349391613038,54.80195164439504,-87.76613514355745,10.139379906194536
2026-09-25,0.03561643835616438,771.0,call,3.32,3.3,3.34,342.0,817,0.10199872619628905,1.0087794190236212,0.0986994172185442,0.3500668314007117,0.026019682881221837,53.42978234773727,-84.37108464768578,9.411023138954919
2026-09-25,0.03561643835616438,772.0,call,2.94,2.92,2.96,636.0,2132,0.10077803527832031,1.0100878229393457,0.09773601509142671,0.3229765377157365,0.025465086908691474,51.780543920449446,-80.5902931581337,8.687124663106825
2026-09-25,0.03561643835616438,773.0,call,2.59,2.57,2.61,378.0,1007,0.09961837890625,1.0113962268550702,0.09680720174073677,0.29638373894715997,0.024763129837451724,49.87466814752164,-76.54338322410561,7.97570025811257
2026-09-25,0.03561643835616438,774.0,call,2.28,2.26,2.3,5221.0,1785,0.09873337799072265,1.0127046307707948,0.09613321539723793,0.2709420193679596,0.023886998956032718,47.775129901345366,-72.48927773667248,7.294184959916077
2026-09-25,0.03561643835616438,775.0,call,1.9849999999999999,1.97,2.0,1243.0,1878,0.09748216979980469,1.0140130346865193,0.0952135799906587,0.24576200977133073,0.0229285301950755,45.41945596626258,-67.9822645328959,6.619259521856471
2026-09-25,0.03561643835616438,776.0,call,1.73,1.72,1.74,751.0,674,0.09656665161132813,1.0153214386022438,0.09460597553801774,0.22224217555574227,0.021824624661028816,42.95682447764848,-63.63074661347589,5.988101585942518
2026-09-25,0.03561643835616438,777.0,call,1.495,1.48,1.51,726.0,756,0.09583423706054689,1.0166298425179683,0.09389570618098672,0.19954802222243495,0.020643282848093494,40.326572676502046,-59.06583960940521,5.3787073856088
2026-09-25,0.03561643835616438,778.0,call,1.2850000000000001,1.27,1.3,501.0,1070,0.09497975341796877,1.017938246433693,0.0932220078125882,0.17811703032268772,0.01938601721352239,37.59878959133287,-54.481898827382196,4.802807499840141
2026-09-25,0.03561643835616438,779.0,call,1.1,1.09,1.11,645.0,862,0.09412526977539062,1.0192466503494175,0.09262634561826587,0.15814945882235731,0.01807320488458151,34.828640264159795,-49.97545452467422,4.265853707686545
