expiry,T,strike,option_type,mid_price,open_interest,underlying_spot,moneyness,iv,delta,gamma,vega,theta,rho
2026-10-27,0.1232876712328767,24700.0,call,53.6,297570,23398.1,1.0556412700176512,0.1127950436427476,0.11961023042537745,0.0002152947301771557,1639.0954738997643,-900.2404622770706,338.43108349630273
2026-10-27,0.1232876712328767,24300.0,call,111.45,345930,23398.1,1.038545864835179,0.11081940698214046,0.21793478313947962,0.0003232882479265084,2418.168581463643,-1360.022853228373,614.9354619400741
2026-10-27,0.1232876712328767,24150.0,call,148.15,24440,23398.1,1.032135087891752,0.11170177324341143,0.2692937695263551,0.0003596046425127495,2711.2289438795956,-1565.144461908416,758.5659306651008
2026-10-13,0.08493150684931507,24000.0,call,124.6,2795,23398.1,1.025724310948325,0.11280593284432726,0.26935756042692116,0.0004291543140360638,2250.999708339983,-1833.4236857085189,524.6945456767463
2026-10-13,0.08493150684931507,23850.0,call,170.6,3575,23398.1,1.019313534004898,0.11385509699208123,0.33726728733860817,0.00047024494924713845,2489.46848122591,-2091.569688646543,655.7403726670663
2026-10-13,0.08493150684931507,23600.0,call,281.0,6240,23398.1,1.0086289057658528,0.1192900576374431,0.46160850791018904,0.00048780460005759296,2705.7031966962554,-2475.916787226256,893.4592057410381
2026-10-06,0.06575342465753424,25800.0,call,5.5,36335,23398.1,1.1026536342694493,0.1684643053680221,0.015500432474380738,3.853490864563049e-05,233.6908951143341,-318.95513739380175,23.485852278664748
2026-10-06,0.06575342465753424,23650.0,call,200.95,9425,23398.1,1.0107658314136618,0.11506977009626355,0.4104885978339765,0.0005629531773047741,2331.9169692913,-2555.644201228192,618.3257248082269
2026-10-06,0.06575342465753424,23800.0,call,145.75,52390,23398.1,1.0171766083570888,0.11432855037149076,0.3286996592945686,0.0005269053948346433,2168.5373410249863,-2298.7969363033453,496.1225724602439
2026-10-06,0.06575342465753424,24400.0,call,33.8,45305,23398.1,1.042819716130797,0.11664761240716004,0.10270786974140228,0.00025564236159363225,1073.4658615188612,-1082.149979910444,155.7941264802615
2026-10-27,0.1232876712328767,25750.0,call,14.35,31915,23398.1,1.1005167086216403,0.13631322957250427,0.033172661333100636,6.600700051765597e-05,607.3077736584013,-377.4924503199312,93.9239073021628
2026-10-27,0.1232876712328767,24750.0,call,49.2,33670,23398.1,1.0577781956654602,0.11338967569392193,0.11097906321356889,0.00020306402115133132,1554.1299502705047,-854.2997492950918,314.07524765738555
2026-10-27,0.1232876712328767,23600.0,call,363.25,255775,23398.1,1.0086289057658528,0.11722499700153721,0.4900530885883474,0.0004136136685831689,3272.622767751539,-2162.881600688684,1368.8705638972672
2026-10-27,0.1232876712328767,23200.0,call,610.2,40885,23398.1,0.9915335005833807,0.12583556068772817,0.6427689754691621,0.00036018407552065493,3059.2060623464945,-2348.7276374761095,1778.9637654252567
2026-10-13,0.08493150684931507,24500.0,call,43.05,16055,23398.1,1.047093567426415,0.11591601845220732,0.11360643889390015,0.0002433864145726612,1311.806574552937,-1038.5897394230076,222.10649144843563
2026-09-15,0.00821917808219178,25300.0,call,0.4,842660,23398.1,1.0812843777913592,0.29893987624595775,0.0021630302820152838,1.0734891790803595e-05,14.440129805135152,-265.3587064901247,0.41269150041036406
2026-09-15,0.00821917808219178,23550.0,call,52.45,4880720,23398.1,1.0064919801180439,0.1281878650795146,0.3042637421016177,0.0012867241856192434,742.2017166584473,-6175.905979996536,58.082823059901465
2026-09-15,0.00821917808219178,23650.0,call,25.35,4973735,23398.1,1.0107658314136618,0.12291621921497549,0.18013273428665746,0.0010068101418080413,556.8604201254753,-4394.034215251215,34.433537153415394
2026-09-15,0.00821917808219178,23750.0,call,11.45,5403190,23398.1,1.0150396827092798,0.12145302204734329,0.09523204616014169,0.0006572066227096913,359.1698162970577,-2775.4969007637037,18.22026513303313
2026-09-15,0.00821917808219178,23800.0,call,8.05,11593985,23398.1,1.0171766083570888,0.12336753611551789,0.06987154095834176,0.000512335568453972,284.4100733466722,-2223.8514630110644,13.371051801129736
2026-09-15,0.00821917808219178,24400.0,call,1.2,5027425,23398.1,1.042819716130797,0.192174373654597,0.008847530389234082,5.873886100150703e-05,50.79378436778729,-605.1180551915281,1.6916334246919458
2026-09-15,0.00821917808219178,24700.0,call,0.8,2449720,23398.1,1.0556412700176512,0.2301976322628584,0.0051955578606060005,3.064041927928493e-05,31.73840750052742,-451.08893771832584,0.992598797283828
